scorer,individuals,bodyparts,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349
RicardoDiaz,dros1,abdomen,,,,,,,,,,,,,1.010562468143863,3.1033466513851007,,,,,,,,,,,,,,,,2.2313391687006687,,,,,,,,,,,,,2.4785918855119853,,,,,,,,1.8736873134588865,,,1.0150190842574442,,,,,,,,,,,,1.7791039959439094,,,,,,2.1176714676529915,,,2.2463185400940073,,,,,,2.1926863281366313,,2.3074045022010155,2.690339719573064,,,,,,,,,,,,,2.5776795467093554,,,,,,1.764384231601244,,,,,,,,2.0196646706255947,,,,,,,,,,,,,,,,,,1.5909424779266752,,,3.523228890351137,,,,,,,,,,1.0797626062021184,,,2.4093904440432574,,,,,3.5349617833298392,0.4562468648983269,,1.308466998311922,,,,,,,,1.2101980403217492,,,1.2732058090993736,,,,,,,,,,1.4145257715136033,,,,,,3.4726631301937405,,,,,,,,,,,2.3368013690983434,2.0372815350340616,,2.28287141828878,,3.3564868353543913,3.8178752416808157,,1.550021728940814,,,,2.3262180544505933,,,,1.6548722949776675,,,,2.6739711415976566,,,,,,,,,,2.7751891827030946,,,,,,,,,,,,,1.1082264130085175,1.626630297617678,0.3705943882773135,,,,1.1282418722455971,1.2836784570625677,,0.8344650928300124,,,,,,,,2.027386668769145,,,2.7130600631135846,,,,,,,,,,2.9505011656344085,1.5466422116823317,,,,,,,,,,3.3299933412165474,,,,1.2982978747911171,,,,,,,,2.1893145267473755,,,,0.5210157938698726,,,,,,,,,,,,,1.8518508826753943,,,,,,,,3.9051746866709736,,2.275675629899995,,,,,,,,,,,,,,,,,,,,5.105753463087134,,,,,,,,,,,,0.3675632633946152,,,,
RicardoDiaz,dros1,head,,,,,,,,,,,,1.6487515477272539,,2.6105374202101825,,,,,,,,,,,,,,,,6.359456929840628,,,,1.9693597245899328,,,,,,,,,3.8629870000065956,,,,,,,,5.28546851811086,,,3.3982268077640696,,,,,5.198682778544284,,,,,,,1.1515501356408813,,,,,,2.484425613653897,,,1.1841324354995604,,,,,,2.541129634180293,,3.393717842235019,3.683668037002267,,,,,,,,,,,,,,,,,,,1.9976246080792583,,,,,,,,2.00157372568479,,,,,,,,,,,2.5685426669911373,,,,,,,0.8722230248276065,,,3.340059799447608,,,,,,,,,,2.9427183118670337,,,2.7632828008740367,,,,,,2.015840852717264,,3.5918113124755138,,3.7127051197015053,,,,,,3.768890318129108,5.026144999618526,,3.103136197199073,,,,,,,,,,,,,,,,3.597351358377779,,,3.6063937523731115,,,,,,,,2.4981251162551708,3.4115477332334287,,,,3.2988937842673045,,,4.056854022125495,,,,1.6316364897429814,,,,2.5669039931090287,,,,3.273873453530734,,,,,,,,,,3.906040372614248,,,,,,,,,,,,,0.8632591514293212,2.173864571170398,1.1620539259094018,,,,0.6369407576915949,2.4921848014071686,,0.808149527067693,,,,,,,2.0119573409794316,1.713151069156524,,2.9234022331978653,2.3377648324206164,,7.302483112457236,,,,,,,2.7856808726897557,1.0065854058319803,,,,,,,,,,,,,,,0.637991864386873,,,,,,,,2.4642977638086916,,,,5.022220318005884,,,,,,,,,,,,,0.7092324245403773,,,,,,1.6414066660433777,,1.5699638122003643,5.661429100445716,1.3777774407157442,,,,2.854459075084465,,,,,,,,,,,,,,,,,,,,,,,,,,1.9314488160646548,,1.9640580215186911,,,,
RicardoDiaz,dros1,leftwing,3.149671351215956,3.621347970963333,2.743819128662821,5.866120469060776,1.5105861517546344,1.4372977204006605,,,2.743535364540043,,2.1930381871131126,2.8513786060001793,2.9941028455560974,6.527720629885165,1.7103805573843018,0.4522683827549736,0.7694345488546785,,,,5.2588343818079135,3.770073234762406,3.8254429022544287,6.5572835354051575,0.9594233021153585,4.549080469211927,7.158137237402661,,,5.883307797721897,1.3038200128181665,2.250824426839464,0.21474673707433123,5.353659174108391,2.5403015264468536,2.1615996985114223,1.199676226558879,11.06760584802915,,,0.9470964196754762,1.0670479374499664,2.829770127684118,2.7294330454839777,1.5979452072059177,,2.430333734411485,,3.282287064090126,,6.873755031911235,5.620056066029987,6.793034952257187,7.306103276309098,6.337832935043371,4.1250573736109795,,,,6.40302415893327,2.8250439611250755,1.3722846442636734,2.6540358006999223,3.6200184740188233,2.510486836123476,2.178730144948108,,,,,2.838452571704628,2.2303132257504643,,0.8522742252438333,4.063417185428757,,1.5850912265929948,0.24866230046684829,,,0.9128905259247583,2.4218462956184013,2.7094476493264725,2.8377461757927307,3.2097522002056817,,2.504986517072155,,1.9583773965920785,,3.7880095848017428,0.7549134117821059,2.7477721356516476,1.3408407822825779,3.072366082987498,1.3939099331887044,2.903246365611079,3.071089390937021,3.8110543510703816,2.0945572487103763,2.9226242269598774,3.701606848184866,2.4707295450962907,,,,3.496082342699908,,,,3.9056706094311515,,,,,,2.1310007645916382,,,,1.48765376777048,,,0.23533025764780444,0.5366724070714879,2.965543737183019,,,1.5748776857632987,,2.1651742391108284,1.6093694174820865,3.7137234605046427,2.962669593398001,2.304805805335778,,,,,2.313747558220237,,2.16413542199739,3.1955536947707044,2.963759536441728,2.8576147604108897,0.5911991736223879,1.6663120251724608,0.1681940973142207,1.9758700283540327,,2.1381884030837837,1.3605631166740666,2.267125231526964,1.7120682887251346,,,1.4451401619878792,,,,0.5235030510644746,2.6911878505549724,2.767217709462518,0.8372027161407978,3.0548650522868694,1.4047015930813296,,0.7884731574482667,,3.154691411772321,1.277673145710254,,4.669210378234463,1.4940380649795622,0.8019584621417792,2.4529847573690335,1.8740401180867954,1.7258858810003368,,3.421676383252999,0.8137764748309775,0.8791508156007914,,3.524635325662132,,2.4669588421525535,1.493405774197926,,1.6263496697606319,,1.2404171590750828,2.510689861946312,2.814159771772544,4.394549585345189,1.4687048503402962,3.3609442639457106,0.6866423466873298,1.4604410897537476,0.6586332764568125,1.094443915124545,1.9353467274842466,,3.5811495851560196,1.9684405949022898,1.7276378147954683,,0.6928389318875517,,2.959076411239821,,1.8592825927587764,,0.23983851767516437,1.4693427290882175,2.181184244263582,,,,,,0.6045383419905485,0.8840231127551045,2.8081864950555504,0.8544044462123903,2.25786979329302,1.1297074047882039,,1.5289037383974606,,,3.505011825314649,2.837248941790352,2.209855755222983,3.1025186796996036,2.3849413562909794,2.9057657637819343,0.19704894514813023,1.9251801317294481,,2.3818396016927657,2.705749596235468,0.7838184451085981,1.1702380962179706,1.6127185201519398,,1.63467397810132,,,,1.7854686472525407,3.506705957649722,2.66539112161865,,0.9705142729670039,2.1889612201318442,3.3877227245868684,0.8556076006792812,,,,2.646446792533029,2.6022723062722264,,1.980054823187778,4.793149202404942,,3.578075474470617,0.44011887624011614,1.5146065358350191,,1.0681824728651406,2.1022452582795896,3.6204786160458897,1.8836795422491877,4.152682504797418,,2.203847668546055,2.065889277280188,2.169682216247766,,0.9844770233646971,,1.8590147168614195,,1.0142563395242086,,2.0542300111061293,1.1754212052086719,,2.155941726979163,1.2029136060060384,2.364503875484963,2.291686829924491,1.5266537832960643,4.032470387019549,,,,0.936454725945867,,1.848141135440717,3.633856060916783,2.8611440032190134,2.0787346471390546,3.971377492203159,2.6115557493506523,,,,,1.7109029392175652,0.7132183391390219,2.263944145009416,0.7499042199393978,1.223958572985627,2.1235134635482362,0.23147670288126546,1.3234870748237655,0.1212800991401179,,,1.9592584533935729,1.9511366333209832,2.0053382341641854,,,,,,,1.1686570235715887,1.5493717335690755,,3.274930165130172,2.557297110970183,1.8356001096624526,,,3.3401224004092063,,2.7097187103388403,1.6172763374176038,2.1550057091639405,,1.269368178339188,2.9181633074366147,2.1029900040316583,,,
RicardoDiaz,dros1,rightwing,,,3.4140693980054295,,2.895254977846201,2.31939197306055,,,2.5187918004797574,,1.877124364471915,2.190322912179674,1.7055535315154167,1.9025697985690924,3.0361770292197403,,,,,,15.793947695263391,14.185025742994664,,13.221722465335993,13.954510003714056,15.264633933271167,12.973223889329441,,,11.637405162248047,,,0.8946464117645399,1.9756102806016178,,2.3215715960711942,,3.4259571166588936,,,1.9436151364263132,,3.5355296561525664,3.1156093958742983,0.778437369414017,,3.3439644282629897,,,,15.4370266643163,13.291555007256985,10.22461670519985,14.623726315652032,13.648936347970585,13.202408449186837,,,,12.174807559695696,1.2297859791197985,2.828933402885948,2.8363533962296787,,1.487444870817801,2.250589603373999,,,,,1.1660450613204125,0.9643555512097518,,3.4784219924467985,2.8417107651288096,,2.9791286867667828,,,,3.319243811569132,1.531205314097474,2.9128555021203475,1.0514385802291202,0.674214346981738,,1.423671052997301,,,,2.6299885266939893,,3.9523172456326514,1.635032415203133,,,1.3975279266764888,5.66304064478076,2.8420977238867438,1.6644863656668583,1.023996237704413,2.9289916103941986,0.8075525768368819,,,,0.64935120207018,,,,2.8732738943657874,,,,,,0.6836623226073665,,,,1.8286593698978673,,,2.8301878853110582,1.0818646598413206,0.9711829955340464,,,0.42402980451640737,,1.2236822414159498,3.8998267900470696,2.0536693324207187,,2.351206498235629,,,,,1.4745699056810648,,1.297357554844515,,1.6382222073464308,3.190768061071554,2.590554408332318,1.437220098959936,1.6213176816769592,0.5310039599881566,,0.6420435206281598,,1.897481869145301,0.6067097585736497,,,0.3854709255416849,,,,2.323800076366929,1.069865127987283,1.5239692955199626,2.1300372795234113,0.6741990252826553,,,0.626792191103762,,2.5458519799794357,1.555615500730627,,1.2755960175631156,1.5503097491278248,1.5067645931405131,1.52103677219207,1.959609279912017,2.5964277525396766,,4.003792652058528,4.492889417809339,3.8185960387448463,,1.6215345478385437,,,0.8366000815421395,,0.9854643796536204,,3.3726210176929854,4.109468235263085,0.4220632895135953,1.4603153031030511,0.6442030641429342,2.66856113551129,1.9527845905047696,1.6945287617496645,0.26373535266024595,2.382168879660406,0.43078953033441614,,2.521177211457224,0.6996902431890621,1.1860439252805177,,0.9958280986643131,,,,3.687600063311918,,1.4413877085531492,1.7791576724718698,1.2684553603430822,,,,,,4.309237993479724,0.6048090950729893,2.0534895290991804,2.222382606907319,,0.7725712125926096,,1.8284684340374242,,,7.350448383565488,2.2257774617479043,,1.8239736439844971,1.4464076704482747,0.7849993025785257,,5.862739038026718,,4.404919191204273,1.7817722544694279,3.4776243017441573,1.7318132915002258,2.1954211278564757,,2.0996830834636504,,,,1.3835300613868549,2.568714305785053,1.5228139336849922,,2.0466379168894004,0.24732640388097793,1.0344383657356329,2.00480029651958,,,,,1.0132472828695656,,3.10416428054538,0.5842907093317445,,1.3037899345814823,3.384392206138813,,,2.272905691021495,,1.957795194739079,,0.8588041039966784,,,,2.0148908359059754,,1.1170495242918943,,3.02402619889296,,,,3.5403117703731586,,,,1.3944473338287326,2.2411342642007477,1.9715236236531883,,3.5727356539251036,,,,1.6822541787043535,,,0.7937692396596318,1.178942013348479,0.5804070461076427,2.0339561635829035,1.2124703517939588,,,,0.6494787164794733,,2.7632464333403357,1.6090962846611268,2.3975043583882294,2.354181543308595,,,2.6481829987246144,3.0856469322629994,,,,3.404550327929308,2.5585182768321335,,,,,,,0.5015119809351072,1.4515111789554003,,1.0076627769239654,0.5500170403070329,3.779177846491293,,,3.139703976311216,,3.2235129285692086,4.257924193364162,1.2190576163066724,,3.929370809597181,1.7821824725746898,,,,
RicardoDiaz,dros1,torax,,,1.4461745216016402,,0.48309205022415924,3.75792462907073,,,1.7423778929046345,,2.458516877951226,1.6363275262666,0.6770177985781806,3.659550821201236,,,,,,,10.730645405245157,,,12.976200494033007,,10.597302858831931,12.932335265526405,,,12.676317755641643,,,,2.763122378139494,,4.546262065759918,,1.6138187674469162,,,,,1.3514217795974184,0.7064967533650646,,,,,,,6.919956495931076,,,7.534891800763461,,,,,,9.0468479370351,,0.5809652931590128,,,1.7839353115249774,2.649488490125039,,,,,0.8313162983786577,3.797520601030143,,3.3230265423268124,1.49970057184274,,4.203052161972701,,,,1.4833530534236623,,1.7585106998297688,2.631463101580708,,,,,,,,,,2.0308243045349488,,,2.8288982458067573,,3.4123735896902945,2.789260403431372,,,0.3111016946077601,,,,,,,,1.678396327137499,,,,,,1.4835803099129807,,,,2.191746610255688,,,,,1.509658252421939,,,3.9205589540703656,,1.6664323932144043,3.1992350608858002,1.1098716274504623,,3.8490368739080356,,,,,0.951989731057246,,2.356988081556636,,1.6730962957791318,1.1537528774155554,2.7531898783716726,1.0024295971375514,1.9716643305970198,5.487622727415265,,2.7077437168740204,,2.935899562283397,,1.0451346511867796,,,,,,3.353647982618769,2.3194850524304176,2.324598374730471,2.812307848390477,0.9764954896985268,,,1.427985252211201,,,,,,2.9912004228589875,3.879923263897782,,3.7284766487093317,2.729334788967862,,2.682094126778109,3.4577952237831635,,,3.115255171533573,,,1.12346049436311,,,,2.8714213981366057,1.1771066023668078,,0.661616879009661,,1.506471903088872,1.280766571623243,0.7908200181279453,3.184848475677857,0.9882783812989387,,,2.4259656492048762,,1.822031802333212,,0.7866611398896131,,,,2.894779816494001,,3.2823013355269253,1.3757866902349498,,,,,,,3.082409109658137,,,0.8957855781016116,,0.4918913135493115,,,,,,0.44296633276832365,,4.248830348559873,2.510393823685242,0.9954186332143315,,,,2.9118204124628226,1.821612384949751,,3.0724283749243013,1.0521545070290501,,,,,,1.3687281577166381,3.4200594095015875,,,2.7094363174706113,,0.15781209252375963,3.26707255715799,,,,,,4.6185697300743245,1.271953169235811,,,2.557844135330547,0.9643395091870803,,,,,6.941778150474984,,,,,,4.349114846948461,,2.219025642584918,3.0584484221955366,,,,,3.5486349475459527,,,,4.344095076960775,2.683479615445423,1.792908409417256,,2.894484434040065,,,,,,,1.111447149752892,,1.4735352752488655,1.8641338156381484,,,,,1.7704337239893213,,0.8583146171471829,3.997387286170963,2.1434105424160683,8.935929925777256,,,2.163595983433956,2.3515352705732657,,,,,,,,,,,,,,,2.805211353027685,3.103455842077848,,,,,,,,,6.779004653499758,1.1051426901655674,1.7624870603059948,,,,
RicardoDiaz,dros2,abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7379492242995174,,,,2.822937697125866,1.051772077346595,,,,,0.4382098775549742,,,,1.1337124865513617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.814561220533478,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5948967465737605,,,,,,,,,,,,,,,,,,,3.820406586214922,,,,,,,,,,2.327549012347859,,2.6395020749916007,,1.3629292964500654,,,,,,,,,,,,,,,,3.3061784865343307,,,,,,,,,,,2.098237769394953,,,,,,,2.698685722400132,,,2.182114674543728,,,,,,,,,,1.0872974185089672,,,,,,,,,,,,,2.3138195681419784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0188783373318575,1.77624562252833,,0.9360738993398986,,1.3755991950141528,2.8485495352380026,,,,,,1.532622744090659,,2.8476840968027424,,,,,,,,,,,,1.0613304613555776,0.9997739517441924,1.032653589229394,,,2.1203241582286427,,,,,,3.637866142229251,,0.2895585267065722,,,,4.064019989525105
RicardoDiaz,dros2,head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7536652317884902,,,,,1.7985103061015946,,,,,2.922068510660228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5588189475778433,,,,,,,,,,4.355750470148217,,4.39400149403169,,1.4752952683530374,,,,,,,3.306788233057145,,,,,,,,,3.36657927616117,,,,,,,,,,,4.62047734602491,,,1.8392432603568016,,,,2.035490181554311,,,3.5434438462300464,,,,,2.721801968376819,,,7.481293932485814,2.5476812522543963,2.8054676580862714,,,2.1271066677711934,,3.0142526096275617,,,,,,,,2.898497598934174,,2.3650231466266356,,,,2.045168405778667,,1.2483773512746537,,,,,,,,,4.0773896629047846,,,,,,,,,,,,,,1.914053283651716,2.8903907677182663,,2.7216327224254324,,,,,,,,,,,4.734189219544609,,,,4.479788138827839,,3.566917698476168,,,,,1.9992310726843328,0.5039954185558345,1.4315150160340446,2.3243979105916837,,1.6875892649964843,2.448384717359647,,,,,,2.05326678826178,,3.0765884862154405,,1.3027370700203846,,1.0504266332602012
RicardoDiaz,dros2,leftwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4032552546748764,,,,,,1.5910579360205421,,2.5551218757407606,,,,,,,,,,,,,,0.29878419776676385,1.1673336181989704,,,,,1.67169578488412,,,,,,,2.7078623568059794,,,,1.392955789039947,1.3948511998298239,,,1.4694828867690255,,,,,,,3.0615636431935545,3.5510327032351556,,,2.237783779200612,,1.2481634652544336,,,,2.3881967610348163,,2.630137416927879,0.7855059964737523,2.0051322689475035,,1.5356505259844202,,2.0058746530754767,1.2015314603255203,1.244879077222796,,,,,,,,,3.1532744010159575,3.062762074549346,1.1238544792415741,2.1530075058616265,2.4788755866156267,,,,,,1.9150808144160192,0.7938784279995128,2.728343536655876,,1.2847078915553016,,3.3272965240315546,,,1.078281892642028,0.671118645642048,,1.3033529314000323,2.571146927463805,1.2316532677789234,,1.423762141299994,,0.9033645091046842,2.798910153274931,,1.3582008355737956,2.8796500372084703,,1.5543460482798352,,,,0.1811158518652536,1.6927410540688572,1.8667272469866358,2.681058933175507,1.2527905293605104,3.595120364467388,1.7401257970102757,1.9504097891668286,,,,,3.924273619606259,2.834388775087851,2.3274363894298373,,1.4928266549177036,1.909964491365164,3.9683194514887252,,,1.5376872173516916,,1.007458941718674,2.660520586670676,,2.185159479418014,,,3.7289057725070442,,,2.600840176360408,,0.6080887809259473,,,2.229820022423779,,,,2.126499971181015,1.3447849019249407,0.6740007247245547,,,,,,1.2463318497140339,,,2.5787408416711926,,1.1867103460347024,,2.72163262143356,2.432850834709296,3.3738928648946445,,2.2835248640320605,1.3305143873545013,2.1907571320642654,4.4558756132168424,1.224391708272937,,,,1.2716379200934884,2.242427215953883,,2.7962126173054047,,2.1561253315628024,2.2117546421617935,2.581833788221595,,1.3621774617410831,,,,,3.4980647205648125,2.053898086213515,3.1105629135839936,1.9607021156585782,4.917852614406149,,2.817362219682158,1.7819632211917116,,,0.4826661631794103,5.154027305452659,2.742885436990382,3.8894701944943746,4.094045216039753,,,,7.036014875159238
RicardoDiaz,dros2,rightwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0316232332668744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2357821468210552,,,,,,1.447474124604259,,,,,,,,,,,,,,,,4.352474050237217,0.5080109582361879,,,,,,,,,,,,6.08567040395219,,,,1.6504665382296972,1.0554065585900105,,,,,,,,,,2.6774769421391285,4.443840818103134,,,,,,,,,,,2.38089264556139,2.1913748940135447,3.0894947696108845,,2.8245387687208474,,,1.952110535976812,2.2726478886100594,,,,,,,,,0.7647699365947902,2.174007124642877,4.723845076451184,,2.939633127984053,,,,,,3.4417905131720867,5.803626320264639,,,,,1.2033960241490071,,,6.386333649014926,3.694934228695775,,4.293508285300777,4.357029326060191,,,3.8510411849343744,,2.853568479831141,,,1.5990363869881106,2.146485086904455,,0.5322217183827355,,,,3.0849026360947103,,,2.5126683779084096,3.965540779130207,2.348187688914788,,0.5690769353168854,3.1909408798184624,,,,1.6677248345438096,3.705401448327186,3.9034442598986625,,0.9173410940999908,1.9299468124652455,1.8047470086123423,,,3.117968196552558,,1.8326855888693747,,,3.215220108262622,,,,,,2.838511877196528,,3.3972403692456887,,,1.3124291804301964,,,,1.1537109375499732,2.0585466711103497,2.8385797911517936,,,,,,,,,,,3.8482068844684534,,,2.3414811324958595,1.9518990577338031,,2.4926446987654067,,2.5685360458560034,2.3849464956238298,3.831566460322896,,,,2.1428868022623333,3.30200264228969,,1.2780935406019367,,2.1808317114922415,1.7471942321578233,2.9484604911453443,,0.7997508082107458,,,,,1.553022503105215,0.554975227258403,0.491664166403003,1.1701160146321226,2.336348210497165,,3.1035211570955417,2.2562097610546936,,,1.6229428196155173,1.6918280054253814,4.314710491364112,,2.1559243905973093,,,,2.965745699055129
RicardoDiaz,dros2,torax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.909552617710506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.483806100686385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41968745959799914,,,,,,,,,,,,,,,,4.060243011984749,,,,,,,,,,,1.6099464069067793,2.0644893888400526,,,,,,,,,,,3.475526406262882,,,,0.7223771022113326,,,2.4574755374627943,,,,,,,,,,2.5123238727057715,2.1801504468048982,3.034356973932366,,1.2887963364784236,,,,,,1.8251951618189053,7.89350205049918,,,,,1.1323863325230799,,,,2.6079922876482464,,,,,,,,,,,2.4352109702322307,1.4079464635665075,,1.5476381893415256,,,,2.691609905484439,,,2.054918801689262,3.6274961300478057,,,,2.787552993602675,,,,2.272914379866502,2.225226175402204,,,0.24644974159893046,,2.5233188037513727,,,,,,,,2.385758012629092,,,,,,0.9200339571574333,,2.839596655004062,,,4.048470874974856,,,,,1.4135912576307874,3.431280810699081,,,,,,,,,,,,,,1.6467763933552686,4.073085698328617,,2.248841617624497,,2.0008795543712825,2.9368929062314053,,,,,2.3564454070203698,0.5916733367167494,,2.4072013878061536,,2.2612800620238818,2.5136432180179837,1.8574153053348457,,3.8940251484098654,,,,,3.7004955692542536,1.4815907542270281,2.949399301072969,2.0245525976830643,,,2.5710907449270346,2.1295388927242067,,,,1.5496974270931996,2.3228549230020272,,1.4477888864258732,,,,1.769976249972597
