scorer,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000
individuals,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2
bodyparts,leftwing,leftwing,leftwing,rightwing,rightwing,rightwing,head,head,head,torax,torax,torax,abdomen,abdomen,abdomen,leftwing,leftwing,leftwing,rightwing,rightwing,rightwing,head,head,head,torax,torax,torax,abdomen,abdomen,abdomen
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,811.0,66.25,0.9995,860.0,70.3125,0.9995,805.0,299.75,1.0,811.0,227.375,1.0,815.0,153.25,1.0,,,,,,,,,,,,,,,
